,Lemme,Forme_originale,Categorie,Longueur,Frequence
360,sympathisant,sympathisants,Adjectif,12,11
13311,consultation,consultation,Nom,12,11
3582,essentiellement,essentiellement,Adverbe,15,11
367,role,role,Nom,4,10
1725,ouai,ouais,Adjectif,4,10
1933,aide,aide,Nom,4,10
2309,juin,juin,Nom,4,10
3258,code,codes,Nom,4,10
690,abord,abord,Adverbe,5,10
700,choix,choix,Nom,5,10
2594,video,videos,Nom,5,10
4557,noyau,noyau,Adjectif,5,10
8634,dijon,dijon,Adjectif,5,10
460,milieu,milieu,Nom,6,10
547,famill,famille,Adjectif,6,10
671,argent,argent,Nom,6,10
3923,placer,place,Verbe,6,10
4106,preuve,preuves,Nom,6,10
8455,metier,metier,Adjectif,6,10
8576,chance,chance,Nom,6,10
10239,bosser,bosser,Verbe,6,10
397,extreme,extreme,Verbe,7,10
468,sportif,sportif,Adjectif,7,10
1450,adapter,adapter,Verbe,7,10
1730,combien,combien,Adverbe,7,10
3113,analyse,analyse,Nom,7,10
4172,famille,famille,Nom,7,10
6338,scrutin,scrutins,Nom,7,10
568,victoire,victoires,Nom,8,10
1620,prochain,prochaine,Adjectif,8,10
2602,presence,presence,Nom,8,10
8688,Monsieur,monsieur,Nom,8,10
667,financier,financiers,Adjectif,9,10
2276,reflexion,reflexion,Nom,9,10
2601,permanenc,permanence,Adjectif,9,10
8820,colistier,colistier,Nom,9,10
981,opposition,opposition,Nom,10,10
3329,territoire,territoires,Adjectif,10,10
3340,developper,developper,Verbe,10,10
6192,challenger,challenger,Nom,10,10
1649,directement,directement,Adverbe,11,10
1735,particulier,particuliere,Adjectif,11,10
4318,sensibilite,sensibilite,Nom,11,10
4075,naturellement,naturellement,Adverbe,13,10
31,taux,taux,Nom,4,9
908,tard,tard,Adverbe,4,9
2618,haut,haut,Adjectif,4,9
3147,faux,faux,Adjectif,4,9
8404,cour,cour,Nom,4,9
9042,coin,coin,Adjectif,4,9
11125,cher,cher,Adjectif,4,9
16810,pret,pret,Nom,4,9
102,covid,covid,Verbe,5,9
287,mener,mener,Verbe,5,9
336,genre,genre,Nom,5,9
695,amont,amont,Adjectif,5,9
838,sorte,sorte,Nom,5,9
12355,jouer,jouer,Verbe,5,9
30,mesure,mesure,Nom,6,9
33,regard,regard,Nom,6,9
362,parole,parole,Nom,6,9
2542,repond,repond,Verbe,6,9
922,maximum,maximum,Adjectif,7,9
14372,systeme,systemes,Nom,7,9
20218,fichier,fichier,Nom,7,9
241,distance,distance,Nom,8,9
924,preparer,preparer,Verbe,8,9
1163,entourer,entourer,Verbe,8,9
1395,derriere,derriere,Nom,8,9
2007,presente,presente,Verbe,8,9
12013,commande,commande,Nom,8,9
300,participe,participe,Verbe,9,9
945,lendemain,lendemain,Nom,9,9
1703,classique,classique,Adjectif,9,9
1728,quotidien,quotidien,Adjectif,9,9
5029,autrement,autrement,Adverbe,9,9
5106,lancement,lancement,Nom,9,9
96,distribuer,distribuer,Verbe,10,9
771,participer,participer,Verbe,10,9
1225,secretaire,secretaire,Nom,10,9
4143,federation,federation,Nom,10,9
1909,application,application,Nom,11,9
2644,territorial,territoriaux,Adjectif,11,9
3271,publication,publications,Nom,11,9
6023,fondamental,fondamental,Adjectif,11,9
5870,participatif,participative,Adjectif,12,9
6559,actuellement,actuellement,Adverbe,12,9
8170,contribution,contributions,Nom,12,9
511,responsabilite,responsabilites,Adjectif,14,9
3841,institutionnel,institutionnelle,Adjectif,14,9
741,long,long,Adjectif,4,8
1659,quoi,quoi,Adverbe,4,8
2401,fond,fond,Adjectif,4,8
3385,agir,agissent,Verbe,4,8
3989,type,type,Nom,4,8
5339,post,post,Adjectif,4,8
8076,loin,loin,Adverbe,4,8
2253,monte,monte,Verbe,5,8
3251,biais,biais,Nom,5,8
3976,franc,franche,Adjectif,5,8
3822,evolue,evolue,Verbe,6,8
4619,centre,centre,Nom,6,8
7649,risque,risques,Adjectif,6,8
406,assumer,assume,Verbe,7,8
2137,suivant,suivante,Adjectif,7,8
3249,reussir,reussir,Verbe,7,8
3898,travers,travers,Adverbe,7,8
5973,capital,capital,Nom,7,8
6235,evident,evident,Nom,7,8
8300,sortant,sortant,Adjectif,7,8
10574,soutien,soutien,Nom,7,8
17004,francai,francais,Nom,7,8
519,demarche,demarche,Nom,8,8
947,repartir,repars,Verbe,8,8
995,position,position,Nom,8,8
2294,produire,produit,Adjectif,8,8
3969,bisontin,bisontins,Adjectif,8,8
4205,remettre,remise,Verbe,8,8
5576,tractage,tractage,Nom,8,8
5832,officiel,officielle,Adjectif,8,8
6768,proposer,propose,Verbe,8,8
8836,avantage,avantage,Nom,8,8
487,expliquer,explique,Verbe,9,8
630,souhaiter,souhaitent,Verbe,9,8
728,presenter,presenter,Verbe,9,8
2739,structure,structure,Nom,9,8
3805,republiqu,republique,Adjectif,9,8
4013,longtemps,longtemps,Adverbe,9,8
4549,formation,formation,Nom,9,8
5743,egalement,egalement,Adverbe,9,8
8646,dijonnais,dijonnais,Adjectif,9,8
11262,diffusion,diffusion,Nom,9,8
11762,faciliter,faciliter,Verbe,9,8
23298,collecter,collecter,Verbe,9,8
6703,europeenne,europeennes,Adjectif,10,8
11021,absolument,absolument,Adverbe,10,8
733,republicain,republicain,Adjectif,11,8
1746,globalement,globalement,Adverbe,11,8
5987,personnalite,personnalite,Nom,12,8
1157,problematique,problematiques,Adjectif,13,8
3042,lire,lire,Verbe,4,7
3547,info,info,Nom,4,7
3889,file,file,Verbe,4,7
4562,bout,bout,Nom,4,7
9245,mair,maire,Adjectif,4,7
203,large,large,Adjectif,5,7
2340,press,presse,Adjectif,5,7
2773,tache,taches,Nom,5,7
2874,utile,utile,Adjectif,5,7
3298,coupe,coupe,Nom,5,7
3660,poser,poser,Verbe,5,7
20266,tiers,tiers,Adjectif,5,7
522,hasard,hasard,Nom,6,7
1549,raison,raison,Nom,6,7
1552,nation,nation,Nom,6,7
1574,touche,touche,Nom,6,7
2068,reussi,reussi,Adverbe,6,7
2671,charge,charge,Nom,6,7
3793,emmene,emmene,Verbe,6,7
9785,rendez,rendez,Nom,6,7
11798,tomber,tomber,Verbe,6,7
16461,tester,tester,Verbe,6,7
17737,tunisi,tunisie,Adjectif,6,7
278,nourrir,nourri,Verbe,7,7
464,domaine,domaine,Nom,7,7
898,minimum,minimum,Adjectif,7,7
1753,presque,presque,Adverbe,7,7
3398,asseoir,asseoir,Verbe,7,7
3643,montrer,montrer,Verbe,7,7
4458,traiter,traiter,Verbe,7,7
5918,publier,publiant,Verbe,7,7
6163,produit,produit,Nom,7,7
8542,collage,collage,Nom,7,7
10367,voiture,voitures,Nom,7,7
13158,tourner,tourner,Verbe,7,7
44,presents,presents,Verbe,8,7
1890,ecologie,ecologie,Nom,8,7
2306,premiere,premiere,Nom,8,7
2465,repondre,repondre,Verbe,8,7
3305,reaction,reactions,Nom,8,7
5788,recruter,recrute,Verbe,8,7
13006,portable,portable,Adjectif,8,7
306,sanitaire,sanitaire,Adjectif,9,7
1618,actualite,actualite,Nom,9,7
2181,reflechir,reflechir,Verbe,9,7
3091,interagir,interagissent,Verbe,9,7
5748,ressentir,ressenti,Verbe,9,7
6933,campagner,campagnes,Verbe,9,7
7040,specifiqu,specifique,Adjectif,9,7
13961,artisanal,artisanale,Adjectif,9,7
3786,prestation,prestation,Nom,10,7
6752,directrice,directrice,Nom,10,7
3412,disposition,dispositions,Nom,11,7
9296,concurrence,concurrence,Nom,11,7
11014,transformer,transforme,Verbe,11,7
737,constitution,constitution,Nom,12,7
1345,convivialite,convivialite,Nom,12,7
5105,certainement,certainement,Adverbe,12,7
5906,connaissance,connaissance,Nom,12,7
8007,problematiqu,problematique,Adjectif,12,7
8010,collaboratif,collaboratifs,Adjectif,12,7
8891,coordinateur,coordinateur,Nom,12,7
3699,malheureusement,malheureusement,Adverbe,15,7
2144,particulierement,particulierement,Adverbe,16,7
477,mond,monde,Adjectif,4,6
2312,date,date,Nom,4,6
8197,lors,lors,Adverbe,4,6
8897,pole,poles,Nom,4,6
12139,cool,cool,Adjectif,4,6
15317,rgpd,rgpd,Nom,4,6
15462,clac,clac,Nom,4,6
1206,appui,appui,Nom,5,6
2154,celui,celui,Adjectif,5,6
2225,etape,etapes,Nom,5,6
2826,poste,poste,Nom,5,6
4235,actif,actifs,Nom,5,6
4763,titre,titre,Nom,5,6
7123,etion,etions,Nom,5,6
7390,payer,payer,Verbe,5,6
8000,sympa,sympa,Adjectif,5,6
9697,fiche,fiche,Nom,5,6
12205,etude,etude,Nom,5,6
15426,court,court,Adjectif,5,6
265,valoir,vaut,Verbe,6,6
1250,bouger,bouger,Verbe,6,6
1704,e-mail,emails,Nom,6,6
1820,cercle,cercles,Nom,6,6
2094,laisse,laisse,Verbe,6,6
2173,montre,montre,Verbe,6,6
2509,agenda,agenda,Nom,6,6
4352,fidele,fidele,Nom,6,6
5201,erreur,erreurs,Nom,6,6
6141,certes,certes,Adverbe,6,6
8367,membre,membres,Nom,6,6
8430,mairie,mairie,Nom,6,6
9924,tendre,tendu,Verbe,6,6
14505,client,clients,Nom,6,6
16343,genial,genial,Adjectif,6,6
3,instant,instant,Nom,7,6
495,decider,decidait,Verbe,7,6
1120,suffire,suffit,Verbe,7,6
1570,habiter,habitent,Verbe,7,6
1867,support,support,Nom,7,6
2224,marquer,marquait,Verbe,7,6
2326,degager,degager,Verbe,7,6
2802,evoluer,evoluer,Verbe,7,6
2939,compris,compris,Adjectif,7,6
2968,tranche,tranches,Nom,7,6
3074,emotion,emotion,Nom,7,6
4498,langage,langage,Nom,7,6
5277,journee,journee,Nom,7,6
6888,cellule,cellules,Nom,7,6
8918,commune,commune,Nom,7,6
18253,depense,depenses,Nom,7,6
574,rarement,rarement,Adverbe,8,6
1722,telegram,telegram,Nom,8,6
1734,identite,identite,Nom,8,6
1936,priorite,priorites,Adjectif,8,6
2111,parcours,parcours,Adverbe,8,6
5456,whatsapp,whatsapp,Nom,8,6
5710,pratique,pratiques,Nom,8,6
6549,benevole,benevole,Nom,8,6
6630,instance,instances,Nom,8,6
7853,discours,discours,Adverbe,8,6
10105,associer,associe,Verbe,8,6
13535,logiciel,logiciels,Nom,8,6
17564,activite,activite,Nom,8,6
